Index,Case_Name,i_h2i_rate,i_h2_temp,i_ngi_rate,i_ng_temp,i_pci_rate,i_wpi_rate,i_sgi_rate,i_sgi_COH2ratio,i_sgi_ReProRatio,i_o2_volfract,i_hbtemp,i_wind_rt,i_blastH2O,i_BdnH2O,o_tuy_velo,o_tuy_temp,o_burn,o_fta,o_coke_rt,o_hmt,o_delp,o_tgt,o_co_vf,o_co2_vf,o_h2_vf,o_n2_vf,o_co_util,o_h2_util,o_co2_sollos,o_h2o_sollos,o_feo_sollos,o_hm_rt,o_mw_rt,o_wf_rt,o_hm_h2share,o_mw_h2share,o_wf_h2share,o_prod_rt
635,H2-10_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-300_HBT-1480_WR-230,10,300,60,300,0,0,0,0,0,21,1480,230,5.8,7,0,0,0,2.14E+03,3.79E+02,967.76,1.26E+05,6.87E+01,1.95E-01,2.35E-01,6.43E-02,5.06E-01,5.47E+01,5.03E+01,2.71E+01,1.67E+01,50.520983,2.93E+02,6.33E+02,1.86E+03,2.50E+01,1.47E+01,5.23E+01,9.71E+03
636,H2-10_PCI-0_WPI-0_NG-0_O2-21_NGT-0_H2T-300_HBT-1600_WR-195,10,300,0,0,0,0,0,0,0,21,1600,195,5.8,7,0,0,0,2.42E+03,4.51E+02,1490.95,8.66E+04,6.87E+01,2.08E-01,2.29E-01,3.87E-02,5.25E-01,5.24E+01,4.78E+01,3.07E+01,1.10E+01,58.83574,2.15E+02,4.64E+02,1.32E+03,1.55E+01,1.07E+01,3.90E+01,7.12E+03
637,H2-30_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-300_HBT-1200_WR-230,30,300,60,300,0,0,0,0,0,21,1200,230,5.8,7,0,0,0,1.85E+03,3.49E+02,192.99,1.25E+05,6.88E+01,1.89E-01,2.26E-01,1.02E-01,4.83E-01,5.44E+01,5.08E+01,2.15E+01,2.19E+01,43.778989,3.27E+02,7.04E+02,2.08E+03,3.63E+01,2.07E+01,6.26E+01,1.08E+04
638,H2-0_PCI-0_WPI-0_NG-41_O2-24_NGT-300_H2T-0_HBT-1600_WR-160,0,0,41,300,0,0,0,0,0,24,1600,160,5.8,7,0,0,0,2.42E+03,4.53E+02,1829.64,5.49E+04,6.88E+01,2.15E-01,2.40E-01,4.57E-02,4.99E-01,5.27E+01,4.54E+01,2.70E+01,1.15E+01,47.21087,1.69E+02,3.65E+02,9.87E+02,1.84E+01,1.05E+01,3.74E+01,5.61E+03
639,H2-10_PCI-0_WPI-0_NG-80_O2-21_NGT-300_H2T-300_HBT-1600_WR-230,10,300,80,300,0,0,0,0,0,21,1600,230,5.8,7,0,0,0,2.19E+03,3.61E+02,974.89,1.26E+05,6.88E+01,1.93E-01,2.34E-01,7.38E-02,4.99E-01,5.48E+01,5.07E+01,2.41E+01,1.74E+01,51.766109,3.03E+02,6.55E+02,1.93E+03,2.87E+01,1.59E+01,5.60E+01,1.01E+04
640,H2-30_PCI-0_WPI-0_NG-80_O2-21_NGT-300_H2T-300_HBT-1600_WR-230,30,300,80,300,0,0,0,0,0,21,1600,230,5.8,7,0,0,0,2.05E+03,3.39E+02,547.83,1.35E+05,6.89E+01,1.92E-01,2.20E-01,1.13E-01,4.75E-01,5.33E+01,4.98E+01,1.93E+01,2.19E+01,46.768184,3.32E+02,7.17E+02,2.10E+03,3.88E+01,2.21E+01,6.43E+01,1.10E+04
641,H2-10_PCI-0_WPI-0_NG-80_O2-21_NGT-300_H2T-300_HBT-1480_WR-230,10,300,80,300,0,0,0,0,0,21,1480,230,5.8,7,0,0,0,2.11E+03,3.61E+02,830.11,1.28E+05,6.90E+01,1.92E-01,2.35E-01,7.38E-02,4.99E-01,5.50E+01,5.07E+01,2.53E+01,1.85E+01,49.17549,3.03E+02,6.55E+02,1.92E+03,2.88E+01,1.57E+01,5.54E+01,1.01E+04
642,H2-10_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-300_HBT-1480_WR-230,10,300,100,300,0,0,0,0,0,21,1480,230,5.8,7,0,0,0,2.08E+03,3.45E+02,693.66,1.32E+05,6.91E+01,1.91E-01,2.33E-01,8.30E-02,4.92E-01,5.50E+01,5.09E+01,2.38E+01,1.98E+01,48.787027,3.13E+02,6.76E+02,1.97E+03,3.19E+01,1.70E+01,5.78E+01,1.04E+04
643,H2-10_PCI-0_WPI-0_NG-0_O2-21_NGT-0_H2T-600_HBT-1600_WR-195,10,600,0,0,0,0,0,0,0,21,1600,195,5.8,7,0,0,0,2.44E+03,4.52E+02,1528.96,8.76E+04,6.91E+01,2.09E-01,2.28E-01,3.86E-02,5.25E-01,5.22E+01,4.80E+01,3.14E+01,1.14E+01,57.799759,2.14E+02,4.63E+02,1.32E+03,1.56E+01,1.08E+01,3.93E+01,7.11E+03
644,H2-20_PCI-0_WPI-0_NG-90_O2-21_NGT-300_H2T-300_HBT-1600_WR-230,20,300,90,300,0,0,0,0,0,21,1600,230,5.8,7,0,0,0,2.10E+03,3.46E+02,684.42,1.37E+05,6.92E+01,1.96E-01,2.22E-01,1.00E-01,4.82E-01,5.31E+01,4.93E+01,2.21E+01,2.18E+01,48.220343,3.20E+02,6.92E+02,2.01E+03,3.55E+01,1.97E+01,6.21E+01,1.06E+04
645,H2-0_PCI-10_WPI-0_NG-40_O2-24_NGT-300_H2T-0_HBT-1480_WR-195,0,0,40,300,10,0,0,0,0,24,1480,195,5.8,7,0,0,0,2.42E+03,4.42E+02,1524.56,9.45E+04,6.93E+01,2.31E-01,2.37E-01,3.95E-02,4.93E-01,5.06E+01,4.69E+01,3.05E+01,1.03E+01,56.867032,2.25E+02,4.86E+02,1.39E+03,1.46E+01,1.04E+01,3.72E+01,7.45E+03
646,H2-0_PCI-120_WPI-0_NG-80_O2-21_NGT-300_H2T-0_HBT-1480_WR-195,0,0,80,300,120,0,0,0,0,21,1480,195,5.8,7,0,0,0,2.08E+03,2.91E+02,496.96,1.21E+05,6.96E+01,2.00E-01,2.39E-01,7.66E-02,4.84E-01,5.45E+01,4.89E+01,2.68E+01,1.94E+01,53.798818,2.77E+02,5.98E+02,1.72E+03,2.90E+01,1.47E+01,5.57E+01,9.17E+03
647,H2-0_PCI-41_WPI-0_NG-0_O2-27_NGT-300_H2T-0_HBT-1600_WR-195,0,0,0,300,41,0,0,0,0,27,1600,195,5.8,7,0,0,0,2.42E+03,4.98E+02,2324.31,9.54E+04,6.97E+01,2.58E-01,2.47E-01,1.79E-02,4.77E-01,4.89E+01,4.46E+01,3.31E+01,4.42E+00,59.90553,2.14E+02,4.62E+02,1.31E+03,6.10E+00,5.08E+00,2.01E+01,7.09E+03
648,H2-0_PCI-0_WPI-0_NG-120_O2-30_NGT-300_H2T-0_HBT-1200_WR-160,0,0,120,300,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.01E+03,3.85E+02,1417.86,9.55E+04,6.97E+01,2.21E-01,2.46E-01,1.04E-01,4.28E-01,5.27E+01,4.60E+01,1.59E+01,1.66E+01,15.474562,1.95E+02,4.22E+02,1.20E+03,3.64E+01,1.58E+01,5.59E+01,6.47E+03
649,H2-0_PCI-160_WPI-0_NG-40_O2-24_NGT-300_H2T-0_HBT-1480_WR-195,0,0,40,300,160,0,0,0,0,24,1480,195,5.8,7,0,0,0,2.41E+03,3.17E+02,987.61,1.20E+05,6.98E+01,2.16E-01,2.55E-01,5.81E-02,4.71E-01,5.42E+01,4.90E+01,2.75E+01,1.38E+01,53.592727,2.70E+02,5.85E+02,1.71E+03,2.17E+01,1.21E+01,4.71E+01,8.97E+03
650,H2-10_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-300_HBT-1200_WR-230,10,300,100,300,0,0,0,0,0,21,1200,230,5.8,7,0,0,0,1.92E+03,3.46E+02,355.41,1.35E+05,7.01E+01,1.93E-01,2.32E-01,8.37E-02,4.92E-01,5.46E+01,5.04E+01,2.39E+01,1.99E+01,48.620661,3.12E+02,6.75E+02,1.97E+03,3.18E+01,1.72E+01,5.82E+01,1.04E+04
651,H2-0_PCI-40_WPI-0_NG-160_O2-21_NGT-300_H2T-0_HBT-1480_WR-230,0,0,160,300,40,0,0,0,0,21,1480,230,5.8,7,0,0,0,1.91E+03,2.93E+02,442.36,1.35E+05,7.02E+01,1.91E-01,2.38E-01,9.34E-02,4.78E-01,5.55E+01,5.12E+01,2.39E+01,2.23E+01,46.662214,3.42E+02,7.39E+02,2.17E+03,3.40E+01,1.86E+01,6.01E+01,1.13E+04
