Index,Case_Name,i_h2i_rate,i_h2_temp,i_ngi_rate,i_ng_temp,i_pci_rate,i_wpi_rate,i_sgi_rate,i_sgi_COH2ratio,i_sgi_ReProRatio,i_o2_volfract,i_hbtemp,i_wind_rt,i_blastH2O,i_BdnH2O,o_tuy_velo,o_tuy_temp,o_burn,o_fta,o_coke_rt,o_hmt,o_delp,o_tgt,o_co_vf,o_co2_vf,o_h2_vf,o_n2_vf,o_co_util,o_h2_util,o_co2_sollos,o_h2o_sollos,o_feo_sollos,o_hm_rt,o_mw_rt,o_wf_rt,o_hm_h2share,o_mw_h2share,o_wf_h2share,o_prod_rt
1,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1200_WR-160,10,1200,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.48E+03,5.28E+02,1652.96,4.53E+04,3.49E+01,2.71E-01,2.50E-01,4.10E-02,4.38E-01,4.79E+01,5.00E+01,2.75E+01,9.08E+00,53.42225,1.88E+02,4.07E+02,1.09E+03,1.33E+01,1.23E+01,3.42E+01,6.23E+03
2,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1480_WR-160,10,600,0,0,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.63E+03,5.28E+02,1985.20,4.59E+04,3.50E+01,2.73E-01,2.49E-01,4.12E-02,4.37E-01,4.78E+01,4.95E+01,2.83E+01,9.23E+00,51.7101,1.88E+02,4.07E+02,1.10E+03,1.32E+01,1.22E+01,3.41E+01,6.25E+03
3,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-300_HBT-1600_WR-160,10,300,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.70E+03,5.26E+02,2117.03,4.30E+04,3.53E+01,2.73E-01,2.48E-01,4.11E-02,4.38E-01,4.77E+01,4.97E+01,2.59E+01,8.47E+00,54.11249,1.88E+02,4.07E+02,1.11E+03,1.31E+01,1.22E+01,3.49E+01,6.25E+03
4,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1200_WR-160,20,1200,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.43E+03,4.90E+02,1344.40,5.19E+04,3.58E+01,2.64E-01,2.44E-01,6.95E-02,4.23E-01,4.81E+01,5.03E+01,2.54E+01,1.48E+01,44.36503,2.06E+02,4.46E+02,1.21E+03,2.10E+01,1.83E+01,4.47E+01,6.84E+03
5,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1200_WR-160,10,600,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.40E+03,5.32E+02,1589.99,4.60E+04,3.68E+01,2.77E-01,2.45E-01,4.22E-02,4.37E-01,4.69E+01,4.81E+01,2.59E+01,8.46E+00,56.56291,1.86E+02,4.03E+02,1.09E+03,1.33E+01,1.21E+01,3.47E+01,6.19E+03
6,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1200_WR-160,20,600,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.30E+03,4.92E+02,1211.61,5.16E+04,3.75E+01,2.65E-01,2.42E-01,7.09E-02,4.22E-01,4.78E+01,4.90E+01,2.24E+01,1.23E+01,50.30136,2.05E+02,4.44E+02,1.20E+03,2.08E+01,1.82E+01,4.41E+01,6.81E+03
7,H2-10_PCI-0_WPI-0_NG-60_O2-30_NGT-300_H2T-300_HBT-1600_WR-160,10,300,60,300,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.53E+03,4.32E+02,1311.74,5.77E+04,3.80E+01,2.64E-01,2.45E-01,8.09E-02,4.11E-01,4.82E+01,5.04E+01,2.35E+01,1.52E+01,49.18342,2.23E+02,4.82E+02,1.30E+03,2.36E+01,2.08E+01,4.76E+01,7.40E+03
8,H2-40_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1600_WR-160,40,1200,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.71E+03,4.38E+02,1312.25,5.89E+04,3.80E+01,2.55E-01,2.27E-01,1.21E-01,3.96E-01,4.71E+01,5.04E+01,1.78E+01,1.93E+01,39.98356,2.38E+02,5.15E+02,1.42E+03,3.23E+01,2.80E+01,5.77E+01,7.88E+03
9,H2-10_PCI-0_WPI-0_NG-60_O2-30_NGT-300_H2T-300_HBT-1480_WR-160,10,300,60,300,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.45E+03,4.32E+02,1174.05,5.47E+04,3.83E+01,2.63E-01,2.45E-01,8.06E-02,4.11E-01,4.82E+01,5.06E+01,2.28E+01,1.49E+01,50.15401,2.23E+02,4.82E+02,1.30E+03,2.35E+01,2.07E+01,4.76E+01,7.39E+03
10,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1600_WR-160,10,1200,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.80E+03,5.37E+02,2241.94,4.72E+04,3.83E+01,2.80E-01,2.41E-01,4.30E-02,4.36E-01,4.62E+01,4.71E+01,2.56E+01,8.45E+00,57.88438,1.85E+02,3.99E+02,1.08E+03,1.34E+01,1.20E+01,3.52E+01,6.12E+03
11,H2-20_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-1200_HBT-1600_WR-160,20,1200,0,0,0,0,0,0,0,27,1600,160,5.8,7,0,0,0,2.75E+03,4.72E+02,1591.21,4.59E+04,3.87E+01,2.48E-01,2.35E-01,7.01E-02,4.47E-01,4.86E+01,5.05E+01,2.41E+01,1.51E+01,50.53078,2.01E+02,4.35E+02,1.17E+03,2.19E+01,1.91E+01,4.70E+01,6.66E+03
12,H2-10_PCI-0_WPI-0_NG-60_O2-30_NGT-300_H2T-300_HBT-1200_WR-160,10,300,60,300,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.26E+03,4.29E+02,847.76,5.25E+04,3.88E+01,2.62E-01,2.46E-01,8.03E-02,4.12E-01,4.84E+01,5.08E+01,2.18E+01,1.41E+01,50.39323,2.24E+02,4.85E+02,1.33E+03,2.33E+01,2.07E+01,4.80E+01,7.43E+03
13,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1480_WR-160,10,1200,0,0,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.70E+03,5.39E+02,2084.29,4.73E+04,3.89E+01,2.82E-01,2.38E-01,4.32E-02,4.36E-01,4.58E+01,4.69E+01,2.58E+01,8.68E+00,57.51576,1.84E+02,3.97E+02,1.08E+03,1.35E+01,1.20E+01,3.57E+01,6.09E+03
14,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1480_WR-160,20,600,0,0,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.51E+03,4.96E+02,1593.14,5.31E+04,3.89E+01,2.68E-01,2.38E-01,7.25E-02,4.21E-01,4.70E+01,4.76E+01,2.16E+01,1.20E+01,51.74702,2.03E+02,4.39E+02,1.19E+03,2.11E+01,1.81E+01,4.52E+01,6.74E+03
15,H2-0_PCI-0_WPI-0_NG-41_O2-30_NGT-300_H2T-0_HBT-1600_WR-160,0,0,41,300,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.71E+03,4.89E+02,2010.28,4.71E+04,3.89E+01,2.71E-01,2.53E-01,4.09E-02,4.35E-01,4.83E+01,5.00E+01,2.90E+01,9.43E+00,51.84271,1.94E+02,4.19E+02,1.13E+03,1.32E+01,1.19E+01,3.43E+01,6.45E+03
16,H2-40_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1480_WR-160,40,600,0,0,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.43E+03,4.41E+02,910.59,5.94E+04,3.92E+01,2.56E-01,2.27E-01,1.22E-01,3.94E-01,4.70E+01,4.96E+01,1.78E+01,1.85E+01,43.20298,2.38E+02,5.14E+02,1.41E+03,3.19E+01,2.78E+01,5.69E+01,7.89E+03
17,H2-20_PCI-0_WPI-0_NG-50_O2-30_NGT-300_H2T-300_HBT-1480_WR-160,20,300,50,300,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.35E+03,4.23E+02,925.22,5.86E+04,3.93E+01,2.61E-01,2.39E-01,9.99E-02,4.00E-01,4.78E+01,5.02E+01,2.19E+01,1.79E+01,46.24183,2.34E+02,5.06E+02,1.37E+03,2.75E+01,2.43E+01,5.22E+01,7.76E+03
18,H2-40_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-1200_HBT-1600_WR-160,40,1200,0,0,0,0,0,0,0,27,1600,160,5.8,7,0,0,0,2.70E+03,4.16E+02,1050.18,6.23E+04,3.93E+01,2.38E-01,2.21E-01,1.21E-01,4.19E-01,4.82E+01,5.11E+01,1.91E+01,2.20E+01,39.53176,2.36E+02,5.11E+02,1.41E+03,3.35E+01,2.84E+01,5.97E+01,7.84E+03
19,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1600_WR-160,20,600,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.60E+03,4.98E+02,1742.17,5.33E+04,3.94E+01,2.70E-01,2.36E-01,7.29E-02,4.21E-01,4.66E+01,4.75E+01,2.12E+01,1.19E+01,52.9152,2.02E+02,4.38E+02,1.20E+03,2.12E+01,1.81E+01,4.59E+01,6.72E+03
20,H2-40_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1480_WR-160,40,1200,0,0,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.62E+03,4.39E+02,1178.93,5.75E+04,3.94E+01,2.55E-01,2.27E-01,1.23E-01,3.95E-01,4.72E+01,4.95E+01,1.71E+01,1.83E+01,42.18424,2.37E+02,5.12E+02,1.41E+03,3.25E+01,2.78E+01,5.75E+01,7.88E+03
21,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1600_WR-160,10,600,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.73E+03,5.41E+02,2159.97,4.77E+04,3.95E+01,2.83E-01,2.37E-01,4.33E-02,4.36E-01,4.56E+01,4.67E+01,2.48E+01,8.13E+00,60.44404,1.84E+02,3.97E+02,1.07E+03,1.35E+01,1.19E+01,3.53E+01,6.08E+03
22,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-300_HBT-1200_WR-160,20,300,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.22E+03,4.97E+02,1140.97,5.26E+04,3.96E+01,2.69E-01,2.39E-01,7.19E-02,4.20E-01,4.70E+01,4.77E+01,2.14E+01,1.15E+01,54.12615,2.04E+02,4.40E+02,1.20E+03,2.08E+01,1.80E+01,4.48E+01,6.76E+03
23,H2-40_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1600_WR-160,40,600,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.51E+03,4.40E+02,1065.57,5.71E+04,3.97E+01,2.56E-01,2.27E-01,1.23E-01,3.94E-01,4.70E+01,4.92E+01,1.77E+01,1.86E+01,41.91559,2.37E+02,5.12E+02,1.41E+03,3.23E+01,2.80E+01,5.72E+01,7.85E+03
24,H2-10_PCI-0_WPI-0_NG-80_O2-30_NGT-300_H2T-300_HBT-1600_WR-160,10,300,80,300,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.48E+03,4.04E+02,1147.98,5.59E+04,3.97E+01,2.58E-01,2.43E-01,9.37E-02,4.05E-01,4.85E+01,5.06E+01,1.92E+01,1.47E+01,50.0788,2.33E+02,5.04E+02,1.39E+03,2.67E+01,2.28E+01,5.16E+01,7.73E+03
25,H2-40_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1200_WR-160,40,600,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.23E+03,4.36E+02,615.84,6.05E+04,3.98E+01,2.55E-01,2.28E-01,1.21E-01,3.96E-01,4.72E+01,5.00E+01,1.75E+01,1.84E+01,41.38782,2.39E+02,5.17E+02,1.43E+03,3.18E+01,2.78E+01,5.67E+01,7.93E+03
26,H2-20_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-600_HBT-1600_WR-160,20,600,0,0,0,0,0,0,0,27,1600,160,5.8,7,0,0,0,2.60E+03,4.72E+02,1418.50,5.01E+04,3.98E+01,2.50E-01,2.34E-01,7.10E-02,4.45E-01,4.84E+01,4.94E+01,2.49E+01,1.48E+01,51.94178,2.02E+02,4.36E+02,1.17E+03,2.16E+01,1.91E+01,4.61E+01,6.70E+03
27,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-300_HBT-1480_WR-160,10,300,0,0,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.60E+03,5.41E+02,1957.14,4.76E+04,3.98E+01,2.83E-01,2.37E-01,4.35E-02,4.36E-01,4.56E+01,4.66E+01,2.50E+01,8.16E+00,59.86905,1.83E+02,3.96E+02,1.07E+03,1.34E+01,1.19E+01,3.53E+01,6.09E+03
28,H2-10_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-300_HBT-1600_WR-160,10,300,0,0,0,0,0,0,0,27,1600,160,5.8,7,0,0,0,2.70E+03,5.04E+02,1830.76,4.31E+04,3.99E+01,2.53E-01,2.42E-01,4.18E-02,4.64E-01,4.89E+01,4.94E+01,2.73E+01,9.58E+00,56.7368,1.84E+02,3.98E+02,1.08E+03,1.39E+01,1.25E+01,3.63E+01,6.11E+03
29,H2-20_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-1200_HBT-1200_WR-160,20,1200,0,0,0,0,0,0,0,27,1200,160,5.8,7,0,0,0,2.43E+03,4.72E+02,1052.64,4.98E+04,3.99E+01,2.49E-01,2.33E-01,7.13E-02,4.46E-01,4.83E+01,4.96E+01,2.47E+01,1.53E+01,50.91261,2.02E+02,4.35E+02,1.17E+03,2.19E+01,1.92E+01,4.72E+01,6.68E+03
30,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-300_HBT-1600_WR-160,20,300,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.51E+03,5.00E+02,1663.01,5.30E+04,4.00E+01,2.71E-01,2.36E-01,7.29E-02,4.20E-01,4.65E+01,4.71E+01,2.13E+01,1.16E+01,54.44042,2.03E+02,4.38E+02,1.19E+03,2.10E+01,1.80E+01,4.53E+01,6.71E+03
31,H2-10_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-300_HBT-1480_WR-160,10,300,0,0,0,0,0,0,0,27,1480,160,5.8,7,0,0,0,2.60E+03,5.03E+02,1653.65,4.25E+04,4.00E+01,2.53E-01,2.42E-01,4.17E-02,4.64E-01,4.88E+01,4.96E+01,2.67E+01,9.40E+00,57.41811,1.85E+02,3.99E+02,1.09E+03,1.39E+01,1.25E+01,3.67E+01,6.13E+03
32,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1480_WR-160,20,1200,0,0,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.65E+03,5.00E+02,1745.39,5.27E+04,4.01E+01,2.70E-01,2.35E-01,7.34E-02,4.21E-01,4.66E+01,4.73E+01,2.01E+01,1.16E+01,54.04488,2.01E+02,4.34E+02,1.19E+03,2.14E+01,1.80E+01,4.63E+01,6.66E+03
33,H2-20_PCI-0_WPI-0_NG-50_O2-30_NGT-300_H2T-300_HBT-1600_WR-160,20,300,50,300,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.42E+03,4.24E+02,1074.28,5.74E+04,4.02E+01,2.61E-01,2.38E-01,1.01E-01,4.00E-01,4.77E+01,4.95E+01,2.01E+01,1.61E+01,49.68545,2.33E+02,5.04E+02,1.37E+03,2.76E+01,2.42E+01,5.23E+01,7.74E+03
34,H2-0_PCI-40_WPI-0_NG-60_O2-30_NGT-300_H2T-0_HBT-1480_WR-160,0,0,60,300,40,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.48E+03,4.15E+02,1409.82,5.32E+04,4.03E+01,2.64E-01,2.56E-01,5.87E-02,4.22E-01,4.92E+01,5.11E+01,2.45E+01,1.15E+01,52.51293,2.18E+02,4.70E+02,1.31E+03,1.83E+01,1.60E+01,4.27E+01,7.21E+03
35,H2-0_PCI-20_WPI-0_NG-80_O2-30_NGT-300_H2T-0_HBT-1480_WR-160,0,0,80,300,20,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.36E+03,4.09E+02,1269.31,5.57E+04,4.03E+01,2.62E-01,2.52E-01,6.91E-02,4.16E-01,4.91E+01,5.11E+01,2.29E+01,1.30E+01,52.083,2.23E+02,4.82E+02,1.33E+03,2.10E+01,1.81E+01,4.55E+01,7.37E+03
36,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-300_HBT-1480_WR-160,20,300,0,0,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.43E+03,5.00E+02,1500.77,5.27E+04,4.04E+01,2.70E-01,2.37E-01,7.29E-02,4.20E-01,4.67E+01,4.70E+01,2.08E+01,1.12E+01,55.72316,2.03E+02,4.39E+02,1.19E+03,2.08E+01,1.80E+01,4.48E+01,6.71E+03
37,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-300_HBT-1200_WR-160,10,300,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.37E+03,5.42E+02,1560.71,4.77E+04,4.04E+01,2.85E-01,2.36E-01,4.38E-02,4.36E-01,4.53E+01,4.61E+01,2.49E+01,8.11E+00,60.33456,1.83E+02,3.95E+02,1.07E+03,1.34E+01,1.18E+01,3.52E+01,6.07E+03
38,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1600_WR-160,20,1200,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.80E+03,5.00E+02,1904.24,5.35E+04,4.05E+01,2.70E-01,2.35E-01,7.33E-02,4.22E-01,4.65E+01,4.71E+01,2.06E+01,1.17E+01,53.32098,2.01E+02,4.35E+02,1.19E+03,2.14E+01,1.81E+01,4.62E+01,6.67E+03
39,H2-20_PCI-0_WPI-0_NG-50_O2-27_NGT-300_H2T-300_HBT-1600_WR-160,20,300,50,300,0,0,0,0,0,27,1600,160,5.8,7,0,0,0,2.31E+03,4.02E+02,810.96,5.53E+04,4.05E+01,2.43E-01,2.33E-01,1.00E-01,4.24E-01,4.89E+01,5.07E+01,1.98E+01,1.72E+01,52.52338,2.31E+02,5.00E+02,1.35E+03,2.90E+01,2.50E+01,5.42E+01,7.66E+03
40,H2-40_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-600_HBT-1480_WR-160,40,600,0,0,0,0,0,0,0,27,1480,160,5.8,7,0,0,0,2.43E+03,4.14E+02,663.36,5.87E+04,4.06E+01,2.38E-01,2.22E-01,1.20E-01,4.20E-01,4.83E+01,5.12E+01,1.88E+01,2.10E+01,40.98364,2.38E+02,5.13E+02,1.42E+03,3.32E+01,2.86E+01,5.90E+01,7.87E+03
41,H2-10_PCI-0_WPI-0_NG-80_O2-27_NGT-300_H2T-300_HBT-1600_WR-160,10,300,80,300,0,0,0,0,0,27,1600,160,5.8,7,0,0,0,2.35E+03,3.84E+02,856.02,5.77E+04,4.06E+01,2.42E-01,2.38E-01,9.33E-02,4.27E-01,4.96E+01,5.13E+01,2.10E+01,1.73E+01,51.93333,2.32E+02,5.01E+02,1.36E+03,2.78E+01,2.33E+01,5.31E+01,7.67E+03
42,H2-20_PCI-0_WPI-0_NG-70_O2-30_NGT-300_H2T-300_HBT-1480_WR-160,20,300,70,300,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.31E+03,3.99E+02,753.14,6.05E+04,4.07E+01,2.59E-01,2.36E-01,1.12E-01,3.93E-01,4.78E+01,5.01E+01,1.97E+01,1.84E+01,46.88715,2.44E+02,5.28E+02,1.44E+03,3.01E+01,2.63E+01,5.51E+01,8.12E+03
43,H2-10_PCI-0_WPI-0_NG-80_O2-27_NGT-300_H2T-300_HBT-1480_WR-160,10,300,80,300,0,0,0,0,0,27,1480,160,5.8,7,0,0,0,2.28E+03,3.83E+02,732.82,5.90E+04,4.08E+01,2.42E-01,2.37E-01,9.34E-02,4.28E-01,4.95E+01,5.12E+01,2.24E+01,1.85E+01,48.27892,2.31E+02,4.99E+02,1.37E+03,2.78E+01,2.33E+01,5.31E+01,7.66E+03
44,H2-10_PCI-0_WPI-0_NG-80_O2-30_NGT-300_H2T-300_HBT-1480_WR-160,10,300,80,300,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.40E+03,4.04E+02,1001.84,5.70E+04,4.08E+01,2.58E-01,2.44E-01,9.38E-02,4.05E-01,4.86E+01,5.04E+01,2.07E+01,1.58E+01,47.91512,2.34E+02,5.06E+02,1.40E+03,2.64E+01,2.27E+01,5.09E+01,7.75E+03
45,H2-20_PCI-0_WPI-0_NG-50_O2-27_NGT-300_H2T-300_HBT-1200_WR-160,20,300,50,300,0,0,0,0,0,27,1200,160,5.8,7,0,0,0,2.08E+03,4.02E+02,348.45,5.87E+04,4.08E+01,2.43E-01,2.33E-01,1.01E-01,4.23E-01,4.89E+01,5.06E+01,2.17E+01,1.87E+01,49.62383,2.31E+02,5.00E+02,1.35E+03,2.89E+01,2.48E+01,5.39E+01,7.67E+03
46,H2-0_PCI-40_WPI-0_NG-10_O2-30_NGT-300_H2T-0_HBT-1480_WR-160,0,0,10,300,40,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.83E+03,4.93E+02,2053.76,4.77E+04,4.09E+01,2.71E-01,2.61E-01,2.49E-02,4.43E-01,4.91E+01,5.04E+01,3.03E+01,6.11E+00,55.49728,1.88E+02,4.07E+02,1.11E+03,8.55E+00,7.79E+00,2.60E+01,6.25E+03
47,H2-10_PCI-0_WPI-0_NG-100_O2-30_NGT-300_H2T-300_HBT-1480_WR-160,10,300,100,300,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.36E+03,3.83E+02,796.94,6.24E+04,4.09E+01,2.57E-01,2.41E-01,1.06E-01,3.96E-01,4.84E+01,5.04E+01,2.04E+01,1.80E+01,47.25526,2.46E+02,5.31E+02,1.45E+03,2.90E+01,2.49E+01,5.39E+01,8.12E+03
48,H2-0_PCI-20_WPI-0_NG-30_O2-30_NGT-300_H2T-0_HBT-1480_WR-160,0,0,30,300,20,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.69E+03,4.85E+02,1894.41,4.75E+04,4.10E+01,2.71E-01,2.55E-01,3.62E-02,4.38E-01,4.85E+01,5.00E+01,2.81E+01,8.13E+00,54.50079,1.93E+02,4.17E+02,1.14E+03,1.19E+01,1.08E+01,3.26E+01,6.40E+03
49,H2-10_PCI-0_WPI-0_NG-60_O2-27_NGT-300_H2T-300_HBT-1200_WR-160,10,300,60,300,0,0,0,0,0,27,1200,160,5.8,7,0,0,0,2.14E+03,4.07E+02,584.73,5.24E+04,4.10E+01,2.43E-01,2.40E-01,8.09E-02,4.36E-01,4.96E+01,5.12E+01,2.37E+01,1.61E+01,50.09491,2.21E+02,4.78E+02,1.32E+03,2.43E+01,2.09E+01,4.93E+01,7.33E+03
50,H2-20_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-300_HBT-1480_WR-160,20,300,0,0,0,0,0,0,0,27,1480,160,5.8,7,0,0,0,2.43E+03,4.72E+02,1189.29,4.99E+04,4.10E+01,2.51E-01,2.33E-01,7.11E-02,4.45E-01,4.81E+01,4.91E+01,2.53E+01,1.45E+01,52.26276,2.02E+02,4.38E+02,1.18E+03,2.14E+01,1.91E+01,4.62E+01,6.72E+03
51,H2-10_PCI-0_WPI-0_NG-80_O2-27_NGT-300_H2T-300_HBT-1200_WR-160,10,300,80,300,0,0,0,0,0,27,1200,160,5.8,7,0,0,0,2.11E+03,3.84E+02,416.82,5.84E+04,4.10E+01,2.42E-01,2.37E-01,9.38E-02,4.27E-01,4.95E+01,5.09E+01,2.15E+01,1.74E+01,50.56595,2.30E+02,4.98E+02,1.36E+03,2.78E+01,2.32E+01,5.29E+01,7.66E+03
52,H2-0_PCI-30_WPI-0_NG-20_O2-30_NGT-300_H2T-0_HBT-1480_WR-160,0,0,20,300,30,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.76E+03,4.91E+02,1958.55,4.74E+04,4.12E+01,2.72E-01,2.58E-01,3.07E-02,4.40E-01,4.87E+01,4.98E+01,3.00E+01,7.27E+00,55.32155,1.91E+02,4.12E+02,1.11E+03,1.02E+01,9.38E+00,2.91E+01,6.31E+03
53,H2-10_PCI-0_WPI-0_NG-80_O2-30_NGT-300_H2T-300_HBT-1200_WR-160,10,300,80,300,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.22E+03,4.07E+02,667.79,5.62E+04,4.12E+01,2.59E-01,2.44E-01,9.44E-02,4.03E-01,4.85E+01,4.98E+01,1.81E+01,1.34E+01,55.09268,2.33E+02,5.04E+02,1.37E+03,2.65E+01,2.26E+01,5.10E+01,7.72E+03
54,H2-0_PCI-41_WPI-0_NG-0_O2-30_NGT-300_H2T-0_HBT-1480_WR-160,0,0,0,300,41,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.48E+03,5.08E+02,2112.45,4.39E+04,4.12E+01,2.74E-01,2.64E-01,1.75E-02,4.45E-01,4.91E+01,5.01E+01,3.19E+01,4.18E+00,59.47984,1.86E+02,4.02E+02,1.10E+03,5.86E+00,5.65E+00,1.96E+01,6.17E+03
55,H2-40_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-600_HBT-1600_WR-160,40,600,0,0,0,0,0,0,0,27,1600,160,5.8,7,0,0,0,2.51E+03,4.20E+02,787.85,5.59E+04,4.12E+01,2.39E-01,2.21E-01,1.23E-01,4.17E-01,4.80E+01,5.00E+01,1.73E+01,1.93E+01,46.88626,2.36E+02,5.09E+02,1.38E+03,3.35E+01,2.86E+01,5.91E+01,7.79E+03
56,H2-40_PCI-0_WPI-0_NG-0_O2-27_NGT-0_H2T-600_HBT-1200_WR-160,40,600,0,0,0,0,0,0,0,27,1200,160,5.8,7,0,0,0,2.23E+03,4.20E+02,339.35,5.62E+04,4.12E+01,2.39E-01,2.21E-01,1.23E-01,4.17E-01,4.80E+01,5.00E+01,1.79E+01,1.99E+01,45.89156,2.36E+02,5.09E+02,1.38E+03,3.34E+01,2.86E+01,5.89E+01,7.79E+03
57,H2-20_PCI-0_WPI-0_NG-70_O2-30_NGT-300_H2T-300_HBT-1200_WR-160,20,300,70,300,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.14E+03,3.97E+02,462.63,5.85E+04,4.14E+01,2.57E-01,2.37E-01,1.11E-01,3.94E-01,4.79E+01,5.04E+01,1.92E+01,1.81E+01,46.23264,2.45E+02,5.29E+02,1.47E+03,2.99E+01,2.62E+01,5.50E+01,8.14E+03
58,H2-30_PCI-0_WPI-0_NG-0_O2-24_NGT-0_H2T-1200_HBT-1600_WR-160,30,1200,0,0,0,0,0,0,0,24,1600,160,5.8,7,0,0,0,2.58E+03,4.19E+02,1027.24,5.21E+04,4.14E+01,2.25E-01,2.20E-01,9.72E-02,4.57E-01,4.95E+01,5.12E+01,2.29E+01,2.21E+01,44.34251,2.16E+02,4.66E+02,1.27E+03,2.99E+01,2.49E+01,5.62E+01,7.15E+03
